id,account_name,country,city,segment,sap_partner_ref,is_active,created_at
CRM-000019,Servicios del Golfo,México,Santiago,Corporate,0001000270,true,2022-12-29T00:00:00
CRM-000020,Grupo Peninsular S.A. de C.V.,MEX,Houston,Retail,,true,2022-05-07T00:00:00
CRM-000021,Grupo del Bajio SA de CV,Chile,CDMX,Retail,,true,2022-03-21T00:00:00
CRM-000022,Miguel Torres Ramirez,US,Houston,Business,,true,2021-01-22T00:00:00
CRM-000023,Industrias del Pacifico SAPI de CV,México,CDMX,Corporate,0001000005,true,2022-07-08T00:00:00
CRM-000024,TRANSPORTES CONTINENTAL SA,Mexico ,Monterrey,Premier,,true,2022-12-23T00:00:00
CRM-000025,Francisco Rodriguez Ramirez,MEX,Guadalajara,Business,,true,2021-08-21T00:00:00
CRM-000026,Miguel Rodriguez Torres,MX,CDMX,Premier,,false,2023-05-07T00:00:00
CRM-000027,Transportes del Golfo SAPI de CV,Chile,Monterrey,Business,,true,2024-02-02T00:00:00
CRM-000028,LUIS GARCIA GARCIA,Mexico,CDMX,Business,,true,2022-10-27T00:00:00
CRM-000029,Banco Continental S.A. ,Mexico,CDMX,Retail,0001000052,true,2021-07-23T00:00:00
CRM-000030,Transportes del Pacifico S.A.,CL,Guadalajara,Premier,0001000172,true,2024-08-25T00:00:00
CRM-000031,Distribuidora Continental SA de CV,United States,Houston,Premier,0001000145,true,2022-05-04T00:00:00
CRM-000032,Constructora Continental S.A.,US,CDMX,Business,,true,2024-08-19T00:00:00
CRM-000033,MARIA LOPEZ TORRES,Chile,Guadalajara,Corporate,,true,2023-09-18T00:00:00
CRM-000034,CARLOS GARCIA MARTINEZ,MEX,Santiago,Retail,0001000240,true,2023-02-27T00:00:00
CRM-000035,MARTA SANCHEZ RIVERA,Chile,Guadalajara,Premier,0001000203,true,2021-08-27T00:00:00
CRM-000036,Corporativo del Pacifico S.A. de C.V. ,México,CDMX,Retail,0001000069,true,2021-10-01T00:00:00
CRM-000037,Corporativo del Golfo SA de CV ,MX,Santiago,Business,0001000031,true,2023-12-16T00:00:00
CRM-000038,Grupo Azteca SA de CV,México,CDMX,Corporate,0001000016,true,2022-02-20T00:00:00
CRM-000039,Inmobiliaria Azteca S.A. ,Mexico ,CDMX,Corporate,,true,2023-12-04T00:00:00
CRM-000040,Constructora Azteca S.A.,MX,Monterrey,Corporate,,true,2022-06-23T00:00:00
CRM-000041,Corporativo del Norte S.A. de C.V.,USA,Monterrey,Premier,0001000256,true,2022-09-20T00:00:00
CRM-000042,Comercial Peninsular SAPI de CV ,CHL,Houston,Premier,0001000091,true,2023-07-17T00:00:00
CRM-000043,Comercial Regio S.A.,USA,Santiago,Retail,,true,2021-05-16T00:00:00
CRM-000044,Francisco Martinez Garcia,Mexico,Monterrey,Retail,0001000136,true,2022-07-06T00:00:00
CRM-000045,CONSTRUCTORA DEL BAJIO SA,CL,Houston,Premier,0001000153,true,2023-12-31T00:00:00
CRM-000046,Corporativo Central S.A. de C.V.,Mexico ,Santiago,Business,0001000197,true,2024-03-12T00:00:00
CRM-000047,Corporativo Central SA de CV,Mexico,Guadalajara,Retail,0001000242,true,2024-10-17T00:00:00
CRM-000048,Transportes Continental SAPI de CV,Estados Unidos,Monterrey,Business,0001000019,true,2023-10-19T00:00:00
CRM-000049,Comercial del Golfo S.A. de C.V.,USA,Santiago,Corporate,0001000264,true,2022-08-03T00:00:00
CRM-000050,Guadalupe Rivera Ramirez,Estados Unidos,Monterrey,Premier,0001000084,true,2023-01-22T00:00:00
CRM-000051,Inmobiliaria del Norte,MX,Guadalajara,Business,0001000226,true,2023-03-12T00:00:00
CRM-000052,Industrias del Golfo S.A. de C.V.,USA,Santiago,Corporate,0001000097,true,2024-03-29T00:00:00
CRM-000053,Juan Gonzalez Perez,Mexico,CDMX,Corporate,0001000201,true,2021-08-14T00:00:00
CRM-000054,Inmobiliaria Azteca SA de CV,United States,Santiago,Corporate,,true,2022-07-13T00:00:00
CRM-000055,Corporativo Peninsular SAPI de CV ,Estados Unidos,CDMX,Premier,0001000064,true,2021-12-28T00:00:00
CRM-000056,Guadalupe Hernandez Rivera,MX,Houston,Premier,,true,2022-12-02T00:00:00
CRM-000057,Transportes Azteca SA ,Estados Unidos,Houston,Business,,true,2023-11-06T00:00:00
CRM-000058,Luis Rivera Sanchez,USA,Houston,Premier,0001000028,true,2022-10-08T00:00:00
CRM-000059,Pedro Rivera Garcia,Mexico,Monterrey,Corporate,,true,2021-09-30T00:00:00
CRM-000060,Maria Ramirez Flores ,Mexico ,CDMX,Corporate,0001000106,true,2024-06-10T00:00:00
CRM-000061,Transportes del Pacifico S.A. ,US,Houston,Corporate,0001000215,true,2023-05-29T00:00:00
CRM-000062,PEDRO FLORES PEREZ,MEX,CDMX,Premier,,true,2022-11-11T00:00:00
CRM-000063,Industrias del Golfo S.A. de C.V. ,United States,Santiago,Retail,0001000024,true,2023-05-14T00:00:00
CRM-000064,Constructora Peninsular S.A. de C.V. ,México ,Santiago,Retail,,true,2022-12-11T00:00:00
CRM-000065,SERVICIOS AZTECA S.A.,MX,CDMX,Premier,0001000289,true,2021-08-10T00:00:00
CRM-000066,Ana Ramirez Rivera ,MX,Monterrey,Business,0001000063,true,2022-06-02T00:00:00
CRM-000067,Constructora del Bajio S.A. de C.V.,United States,Houston,Corporate,0001000090,true,2024-08-10T00:00:00
CRM-000068,CORPORATIVO DEL GOLFO SAPI DE CV,CL,Monterrey,Business,,false,2024-09-30T00:00:00
CRM-000069,Servicios Peninsular,Chile,Guadalajara,Premier,0001000223,true,2024-05-26T00:00:00
CRM-000070,Distribuidora del Golfo,MX,Guadalajara,Business,0001000167,true,2022-11-23T00:00:00
CRM-000071,Guadalupe Rivera Rodriguez,US,Santiago,Retail,,true,2021-09-17T00:00:00
CRM-000072,Marta Lopez Rodriguez ,México,Santiago,Business,0001000011,true,2023-08-14T00:00:00
CRM-000073,Grupo Regio SAPI de CV,Estados Unidos,Santiago,Retail,,false,2022-06-28T00:00:00
CRM-000074,Marta Garcia Ramirez,MX,Monterrey,Corporate,,true,2024-06-08T00:00:00
CRM-000075,Comercial del Pacifico S.A.,CL,Houston,Premier,,true,2023-10-23T00:00:00
CRM-000076,Industrias del Bajio,Chile,Guadalajara,Corporate,,true,2023-12-01T00:00:00
CRM-000077,Corporativo del Golfo S.A. ,Mexico,Monterrey,Retail,0001000248,true,2022-06-23T00:00:00
CRM-000078,Distribuidora Peninsular SA de CV,México ,Santiago,Business,0001000134,true,2024-02-19T00:00:00
CRM-000079,Grupo Regio SA ,Mexico ,Santiago,Business,,true,2023-03-11T00:00:00
CRM-000080,MIGUEL GARCIA TORRES,CL,Houston,Retail,,true,2022-07-30T00:00:00
CRM-000081,Marta Rivera Garcia ,MX,Monterrey,Retail,0001000133,true,2022-02-02T00:00:00
CRM-000082,Jose Rivera Sanchez,CL,Santiago,Business,,true,2021-05-01T00:00:00
CRM-000083,Transportes Latina S.A. de C.V.,México,Houston,Premier,0001000159,true,2023-02-12T00:00:00
CRM-000084,Ana Sanchez Hernandez,Mexico,Houston,Corporate,0001000140,true,2022-08-25T00:00:00
CRM-000085,Banco del Pacifico S.A. de C.V.,Chile,Houston,Premier,0001000237,true,2021-01-17T00:00:00
CRM-000086,Corporativo del Golfo SA,Chile,Santiago,Corporate,0001000001,true,2022-09-01T00:00:00
CRM-000087,Marta Sanchez Gonzalez,Mexico,Monterrey,Premier,0001000135,true,2022-06-02T00:00:00
CRM-000088,LUIS PEREZ HERNANDEZ,CHL,Santiago,Retail,,true,2024-09-06T00:00:00
CRM-000089,Transportes Regio SA,MX,Guadalajara,Business,0001000184,true,2024-05-18T00:00:00
CRM-000090,Distribuidora Regio S.A. de C.V.,México ,Houston,Premier,,true,2023-04-25T00:00:00
CRM-000091,Inmobiliaria del Norte S.A. de C.V.,CL,CDMX,Premier,,true,2022-05-20T00:00:00
CRM-000092,Comercial del Norte ,Mexico,Monterrey,Business,,true,2024-07-23T00:00:00
CRM-000093,JOSE HERNANDEZ RODRIGUEZ,MEX,Santiago,Business,,true,2021-10-01T00:00:00
CRM-000094,Marta Rodriguez Martinez,Chile,Santiago,Premier,,false,2022-03-09T00:00:00
CRM-000095,Juan Perez Ramirez,Chile,Guadalajara,Retail,,false,2022-02-02T00:00:00
CRM-000096,Constructora Central S.A. de C.V.,USA,Santiago,Corporate,,true,2022-08-17T00:00:00
CRM-000097,Francisco Rivera Torres,México,CDMX,Corporate,0001000187,true,2021-08-02T00:00:00
CRM-000098,PEDRO LOPEZ RODRIGUEZ,México ,Guadalajara,Premier,0001000286,true,2022-08-27T00:00:00
CRM-000099,Juan Lopez Flores,México,Monterrey,Business,,false,2021-12-10T00:00:00
CRM-000100,Pedro Lopez Torres ,México ,Santiago,Premier,0001000200,true,2022-01-03T00:00:00
CRM-000101,Constructora Latina SA ,MX,Monterrey,Corporate,0001000038,true,2024-02-05T00:00:00
CRM-000102,Banco Continental SA,Mexico ,CDMX,Premier,0001000228,true,2024-04-16T00:00:00
CRM-000103,TRANSPORTES DEL GOLFO S.A. DE C.V.,US,Guadalajara,Premier,,false,2022-11-13T00:00:00
CRM-000104,BANCO DEL BAJIO S.A.,United States,Houston,Corporate,0001000137,true,2024-07-30T00:00:00
CRM-000105,Pedro Gonzalez Rivera,Mexico,CDMX,Premier,,true,2021-07-09T00:00:00
CRM-000106,Corporativo Continental SA de CV,MX,Monterrey,Business,0001000231,true,2023-02-20T00:00:00
CRM-000107,Ana Sanchez Perez,Mexico ,Monterrey,Premier,0001000100,true,2022-03-26T00:00:00
CRM-000108,Miguel Perez Rodriguez,MEX,Santiago,Retail,0001000279,true,2023-06-02T00:00:00
CRM-000109,Comercial Central S.A.,México,Santiago,Premier,,true,2023-04-07T00:00:00
CRM-000110,Constructora Central S.A. de C.V.,Mexico,Monterrey,Retail,,true,2022-05-26T00:00:00
CRM-000111,Grupo Azteca SAPI de CV ,CL,CDMX,Business,0001000026,true,2022-11-26T00:00:00
CRM-000112,Constructora Azteca SA,CHL,Santiago,Business,,true,2023-03-01T00:00:00
CRM-000113,Distribuidora Azteca SA de CV ,Mexico ,Santiago,Premier,0001000174,true,2024-03-15T00:00:00
CRM-000114,Grupo del Pacifico SA de CV,MEX,Santiago,Business,0001000098,true,2022-08-09T00:00:00
CRM-000115,Rosa Hernandez Martinez,CHL,Guadalajara,Corporate,,true,2024-04-02T00:00:00
CRM-000116,Industrias Peninsular SAPI de CV ,Mexico,Houston,Retail,0001000045,true,2023-09-13T00:00:00
CRM-000117,INDUSTRIAS LATINA S.A. DE C.V.,Mexico,Guadalajara,Premier,0001000111,true,2024-01-01T00:00:00
CRM-000118,Maria Gonzalez Gonzalez,United States,Santiago,Corporate,,true,2022-10-19T00:00:00
CRM-000119,Constructora Regio S.A.,MEX,Houston,Corporate,0001000239,true,2024-03-18T00:00:00
CRM-000120,Distribuidora Peninsular SA de CV,CL,Santiago,Corporate,,true,2022-11-15T00:00:00
CRM-000121,Marta Rivera Rodriguez,México,Houston,Premier,0001000044,true,2021-08-26T00:00:00
CRM-000122,Distribuidora Central SA,MX,CDMX,Business,0001000284,true,2024-03-14T00:00:00
CRM-000123,MIGUEL GONZALEZ MARTINEZ,CL,CDMX,Premier,0001000247,true,2022-03-14T00:00:00
CRM-000124,Luis Hernandez Gonzalez,México,CDMX,Corporate,0001000087,true,2024-08-18T00:00:00
CRM-000125,Jose Martinez Lopez,Mexico,Santiago,Premier,,true,2023-02-14T00:00:00
CRM-000126,Transportes Peninsular S.A.,CHL,Houston,Premier,0001000109,true,2022-05-30T00:00:00
CRM-000127,Luis Torres Garcia,CHL,Guadalajara,Retail,0001000179,true,2024-08-13T00:00:00
CRM-000128,Luis Gonzalez Rivera,United States,Houston,Business,,true,2024-01-14T00:00:00
CRM-000129,Guadalupe Martinez Flores,Chile,CDMX,Corporate,0001000156,true,2024-01-18T00:00:00
CRM-000130,CONSTRUCTORA CONTINENTAL S.A.,Estados Unidos,Guadalajara,Corporate,0001000193,true,2023-02-13T00:00:00
CRM-000131,Miguel Martinez Torres,MEX,Monterrey,Retail,,true,2023-09-07T00:00:00
CRM-000132,Jose Rodriguez Perez,México ,Monterrey,Retail,,true,2022-01-05T00:00:00
CRM-000133,Juan Lopez Lopez,MX,CDMX,Premier,,true,2024-04-23T00:00:00
CRM-000134,Luis Rodriguez Torres,CL,Monterrey,Business,,true,2023-01-09T00:00:00
CRM-000135,Constructora Central SAPI de CV,Mexico ,CDMX,Business,0001000151,true,2021-05-23T00:00:00
CRM-000136,Comercial del Norte ,CHL,CDMX,Corporate,0001000273,true,2023-05-26T00:00:00
CRM-000137,Industrias del Norte S.A.,Mexico,Monterrey,Corporate,0001000300,false,2023-07-31T00:00:00
CRM-000138,Constructora Continental ,MX,Monterrey,Business,0001000050,true,2024-01-06T00:00:00
CRM-000139,Grupo del Pacifico SA,Mexico ,Guadalajara,Corporate,0001000132,true,2023-07-19T00:00:00
CRM-000140,Juan Torres Lopez,MEX,CDMX,Corporate,0001000277,true,2024-06-03T00:00:00
CRM-000141,Inmobiliaria del Norte SAPI de CV,USA,Guadalajara,Business,,false,2024-09-08T00:00:00
CRM-000142,Guadalupe Flores Martinez,CL,Santiago,Corporate,0001000166,true,2021-02-07T00:00:00
CRM-000143,Maria Torres Martinez,México ,Guadalajara,Corporate,0001000208,true,2024-04-02T00:00:00
CRM-000144,Constructora del Golfo SA,Mexico,Monterrey,Business,,true,2023-05-28T00:00:00
CRM-000145,Distribuidora Regio S.A. de C.V.,Mexico ,Santiago,Corporate,0001000298,true,2023-11-07T00:00:00
CRM-000146,Ana Ramirez Torres,Mexico,Houston,Premier,0001000192,true,2024-04-01T00:00:00
CRM-000147,Marta Rodriguez Flores,MX,Monterrey,Business,0001000055,true,2024-10-01T00:00:00
CRM-000148,TRANSPORTES DEL NORTE S.A. DE C.V.,CHL,Houston,Business,,true,2021-09-02T00:00:00
CRM-000149,Marta Sanchez Gonzalez,CL,Santiago,Corporate,,true,2023-05-16T00:00:00
CRM-000150,CORPORATIVO REGIO SA,México,Guadalajara,Premier,,true,2022-12-03T00:00:00
CRM-000151,ANA GARCIA PEREZ,Mexico,Houston,Corporate,,true,2024-08-27T00:00:00
CRM-000152,Constructora Peninsular SA de CV,CHL,Guadalajara,Premier,0001000148,true,2022-06-19T00:00:00
CRM-000153,Francisco Rodriguez Flores ,Mexico,CDMX,Premier,,true,2023-09-17T00:00:00
CRM-000154,Francisco Gonzalez Sanchez,CHL,Santiago,Premier,,true,2021-04-10T00:00:00
CRM-000155,Comercial Peninsular,Chile,Monterrey,Business,,true,2024-04-27T00:00:00
CRM-000156,Banco del Norte SA de CV,CL,Guadalajara,Corporate,,true,2024-10-20T00:00:00
CRM-000157,DISTRIBUIDORA CONTINENTAL,MEX,CDMX,Business,0001000034,true,2024-09-07T00:00:00
CRM-000158,Maria Garcia Gonzalez,CL,Houston,Retail,0001000089,false,2021-12-01T00:00:00
CRM-000159,Inmobiliaria Central S.A. de C.V.,CL,CDMX,Corporate,,true,2023-08-07T00:00:00
CRM-000160,MARIA RAMIREZ PEREZ,Mexico ,Monterrey,Retail,,true,2021-01-14T00:00:00
CRM-000161,Inmobiliaria del Pacifico S.A. de C.V.,México,Houston,Retail,0001000196,true,2021-06-10T00:00:00
CRM-000162,Constructora del Norte SAPI de CV,MX,Houston,Business,,true,2023-01-07T00:00:00
CRM-000163,Transportes Central,Mexico ,Houston,Retail,0001000059,true,2023-10-21T00:00:00
CRM-000164,Grupo del Golfo S.A. ,US,Santiago,Corporate,0001000086,true,2024-06-11T00:00:00
CRM-000165,Comercial del Bajio SA,US,Houston,Business,0001000030,false,2022-08-14T00:00:00
CRM-000166,Corporativo del Norte SA,México,CDMX,Corporate,,true,2021-05-02T00:00:00
CRM-000167,Jose Sanchez Perez,MEX,Monterrey,Retail,,true,2021-09-22T00:00:00
CRM-000168,Pedro Flores Ramirez,USA,Monterrey,Retail,,true,2022-02-25T00:00:00
CRM-000169,ANA GARCIA GONZALEZ,MX,CDMX,Corporate,,true,2023-10-26T00:00:00
CRM-000170,Servicios del Golfo,CL,Santiago,Premier,,true,2021-08-11T00:00:00
CRM-000171,Pedro Martinez Torres,USA,Santiago,Business,0001000194,true,2021-10-17T00:00:00
CRM-000172,JOSE RAMIREZ RODRIGUEZ,Mexico,Houston,Corporate,,false,2021-08-15T00:00:00
CRM-000173,ANA FLORES LOPEZ,Mexico ,Monterrey,Retail,,true,2024-06-17T00:00:00
CRM-000174,Grupo del Golfo S.A.,México,Santiago,Business,,true,2022-06-26T00:00:00
CRM-000175,CONSTRUCTORA REGIO,México,Monterrey,Business,0001000236,true,2022-12-31T00:00:00
CRM-000176,Inmobiliaria del Norte SAPI de CV,Chile,Santiago,Retail,,true,2021-04-22T00:00:00
CRM-000177,Banco Regio SAPI de CV,México,Houston,Retail,0001000004,true,2023-07-20T00:00:00
CRM-000178,Transportes Azteca S.A.,MEX,Houston,Business,,true,2022-10-16T00:00:00
CRM-000179,GRUPO LATINA S.A.,CL,CDMX,Retail,0001000092,true,2023-07-27T00:00:00
CRM-000180,Comercial Azteca,US,Guadalajara,Business,0001000006,true,2023-09-12T00:00:00
CRM-000181,Jose Torres Sanchez ,Mexico,Houston,Retail,0001000292,true,2024-05-17T00:00:00
CRM-000182,Miguel Rodriguez Perez,Mexico,Houston,Premier,0001000117,true,2023-01-27T00:00:00
CRM-000183,SERVICIOS REGIO,Mexico ,Santiago,Premier,0001000198,true,2024-06-16T00:00:00
CRM-000184,Distribuidora Continental S.A. de C.V.,Mexico,CDMX,Premier,0001000296,true,2024-08-27T00:00:00
CRM-000185,Transportes Regio SA ,MX,Santiago,Corporate,0001000120,true,2022-09-23T00:00:00
CRM-000186,Servicios Continental S.A. de C.V.,US,Santiago,Premier,0001000047,true,2024-09-29T00:00:00
CRM-000187,Grupo del Norte SA,MEX,CDMX,Corporate,0001000130,true,2023-02-06T00:00:00
CRM-000188,Francisco Rodriguez Perez ,México,Houston,Business,,true,2023-09-24T00:00:00
CRM-000189,Maria Hernandez Rodriguez,CL,Guadalajara,Retail,0001000032,true,2021-04-14T00:00:00
CRM-000190,Juan Gonzalez Ramirez ,México,CDMX,Corporate,,true,2022-07-29T00:00:00
CRM-000191,Rosa Torres Torres,Mexico,CDMX,Corporate,0001000229,false,2022-01-24T00:00:00
CRM-000192,CONSTRUCTORA PENINSULAR S.A. DE C.V.,Chile,Houston,Premier,,true,2023-12-23T00:00:00
CRM-000193,Miguel Perez Gonzalez,Mexico,CDMX,Business,,true,2021-02-16T00:00:00
CRM-000194,CORPORATIVO PENINSULAR SA,México ,Santiago,Premier,0001000056,true,2022-06-27T00:00:00
CRM-000195,Inmobiliaria Central SAPI de CV,CHL,Santiago,Retail,0001000143,true,2023-11-20T00:00:00
CRM-000196,Distribuidora Continental S.A.,US,Santiago,Business,0001000074,true,2023-09-07T00:00:00
CRM-000197,Ana Ramirez Lopez ,USA,Monterrey,Business,,true,2022-07-31T00:00:00
CRM-000198,Constructora Central SA de CV,MEX,Houston,Premier,0001000112,true,2022-09-15T00:00:00
CRM-000199,Maria Garcia Garcia,United States,Santiago,Retail,0001000288,true,2024-10-20T00:00:00
CRM-000200,Industrias del Norte S.A. ,Estados Unidos,Monterrey,Premier,0001000104,true,2021-09-01T00:00:00
CRM-000201,Comercial Continental SA de CV,México,Houston,Corporate,0001000290,false,2021-06-11T00:00:00
CRM-000202,Corporativo del Bajio SA de CV,MX,CDMX,Corporate,,false,2023-02-02T00:00:00
CRM-000203,Pedro Ramirez Perez,MX,Monterrey,Business,,true,2024-05-22T00:00:00
CRM-000204,Inmobiliaria del Golfo SAPI de CV ,México,Guadalajara,Business,,true,2021-07-04T00:00:00
CRM-000205,Grupo del Pacifico S.A.,Mexico,Santiago,Business,,true,2023-06-07T00:00:00
CRM-000206,Guadalupe Lopez Hernandez,CHL,CDMX,Business,,true,2021-08-21T00:00:00
CRM-000207,Juan Rodriguez Flores,CHL,Monterrey,Premier,,true,2024-07-05T00:00:00
CRM-000208,Marta Ramirez Gonzalez,Estados Unidos,Santiago,Corporate,0001000146,false,2021-05-22T00:00:00
CRM-000209,CORPORATIVO LATINA SA,USA,Monterrey,Premier,,true,2024-09-25T00:00:00
CRM-000210,Inmobiliaria del Golfo SA,CL,CDMX,Corporate,0001000127,true,2021-10-08T00:00:00
CRM-000211,Maria Garcia Garcia,United States,CDMX,Corporate,,true,2022-07-10T00:00:00
CRM-000212,INMOBILIARIA DEL NORTE SA,CL,Guadalajara,Premier,,true,2023-12-02T00:00:00
CRM-000213,Corporativo del Golfo S.A. de C.V. ,CL,Houston,Premier,,true,2024-05-27T00:00:00
CRM-000214,Industrias del Pacifico SAPI de CV,Mexico ,Monterrey,Premier,,true,2023-06-27T00:00:00
CRM-000215,Jose Rodriguez Perez,MEX,Guadalajara,Corporate,,true,2023-05-31T00:00:00
CRM-000216,Distribuidora Azteca SAPI de CV,México,Santiago,Corporate,,true,2022-08-11T00:00:00
CRM-000217,Industrias del Norte SA,MEX,CDMX,Premier,,true,2021-06-17T00:00:00
CRM-000218,Constructora Latina S.A. de C.V.,Mexico,CDMX,Premier,,true,2023-09-04T00:00:00
CRM-000219,Grupo del Pacifico SAPI de CV ,Mexico,CDMX,Corporate,,false,2021-07-24T00:00:00
CRM-000220,Grupo Peninsular SA de CV,Mexico,CDMX,Corporate,,true,2022-06-23T00:00:00
CRM-000221,Marta Lopez Rodriguez,Mexico,CDMX,Corporate,,true,2021-12-17T00:00:00
CRM-000222,Inmobiliaria del Golfo SA de CV,CHL,CDMX,Corporate,,true,2024-10-08T00:00:00
CRM-000223,Industrias del Golfo SA,Estados Unidos,Santiago,Premier,,true,2024-06-13T00:00:00
CRM-000224,COMERCIAL DEL BAJIO S.A.,US,Santiago,Corporate,,true,2021-01-17T00:00:00
CRM-000225,TRANSPORTES REGIO SA,Mexico,Santiago,Retail,,false,2021-02-16T00:00:00
CRM-000226,Jose Ramirez Rodriguez,MEX,CDMX,Corporate,,true,2023-06-27T00:00:00
CRM-000227,Transportes Continental,Mexico,Monterrey,Premier,,false,2022-12-02T00:00:00
CRM-000228,Industrias Peninsular,México,Monterrey,Corporate,,true,2023-06-25T00:00:00
CRM-000229,TRANSPORTES PENINSULAR S.A.,CL,Santiago,Retail,,false,2023-12-06T00:00:00
CRM-000230,GUADALUPE FLORES MARTINEZ,CHL,Monterrey,Business,,true,2023-12-16T00:00:00
CRM-000231,Juan Lopez Lopez,MX,Santiago,Corporate,,true,2022-08-19T00:00:00
CRM-000232,Constructora Continental SA,USA,Monterrey,Corporate,,true,2021-12-16T00:00:00
CRM-000233,GRUPO DEL PACIFICO S.A.,México,Houston,Retail,,true,2022-04-12T00:00:00
CRM-000234,Guadalupe Martinez Flores,CHL,Santiago,Business,,true,2021-02-28T00:00:00
CRM-000235,Industrias del Norte SA,USA,Houston,Corporate,,true,2022-12-07T00:00:00
CRM-000236,Servicios Regio S.A. de C.V.,MX,Santiago,Corporate,,true,2021-04-10T00:00:00
CRM-000237,Servicios Regio S.A. de C.V.,Chile,Santiago,Business,,true,2021-06-27T00:00:00
CRM-000238,Corporativo del Golfo SAPI de CV,MEX,Houston,Premier,,false,2021-03-12T00:00:00
CRM-000239,Industrias del Golfo S.A.,Mexico,CDMX,Premier,,true,2023-07-10T00:00:00
CRM-000240,Transportes Regio SA de CV,Chile,Houston,Retail,,true,2022-07-28T00:00:00
CRM-000241,Servicios del Golfo S.A. de C.V.,México,Santiago,Retail,,true,2024-08-24T00:00:00
CRM-000242,Servicios del Norte ,MEX,Monterrey,Business,,true,2023-04-10T00:00:00
CRM-000243,Industrias del Bajio S.A. de C.V.,México,Guadalajara,Business,,true,2022-01-05T00:00:00
CRM-000244,Industrias Peninsular S.A. de C.V. ,CHL,Houston,Premier,,true,2023-01-19T00:00:00
CRM-000245,BANCO PENINSULAR S.A. DE C.V.,Chile,CDMX,Premier,,true,2022-12-01T00:00:00
CRM-000246,INDUSTRIAS CONTINENTAL,Chile,Houston,Corporate,,true,2023-05-02T00:00:00
CRM-000247,Comercial del Golfo S.A.,Mexico,CDMX,Business,,true,2021-04-10T00:00:00
CRM-000248,Banco Azteca S.A. de C.V.,CL,Santiago,Premier,,true,2022-11-15T00:00:00
CRM-000249,Grupo del Pacifico S.A.,México,Guadalajara,Premier,,true,2022-03-27T00:00:00
CRM-000250,Servicios Azteca SA,México ,Houston,Retail,,true,2024-01-31T00:00:00
CRM-000251,Industrias Continental SA,MX,CDMX,Business,,true,2021-08-19T00:00:00
CRM-000252,Corporativo del Golfo SAPI de CV ,CL,CDMX,Business,,true,2021-03-18T00:00:00
CRM-000253,Comercial Azteca SA ,United States,Guadalajara,Corporate,,true,2022-02-27T00:00:00
CRM-000254,Servicios Peninsular S.A. de C.V. ,MEX,Guadalajara,Business,,true,2023-03-26T00:00:00
CRM-000255,TRANSPORTES AZTECA SA DE CV,United States,Santiago,Business,,false,2022-09-08T00:00:00
CRM-000256,Corporativo Azteca S.A. de C.V.,MX,Guadalajara,Retail,,true,2023-01-04T00:00:00
CRM-000257,Distribuidora del Golfo SAPI de CV,Mexico ,Monterrey,Corporate,,true,2024-08-20T00:00:00
CRM-000258,Corporativo del Pacifico S.A. de C.V.,MEX,CDMX,Business,,true,2024-10-15T00:00:00
CRM-000259,Grupo del Bajio S.A.,CHL,Houston,Corporate,,true,2021-01-22T00:00:00
CRM-000260,Distribuidora del Pacifico S.A. de C.V. ,Estados Unidos,Monterrey,Premier,,false,2021-12-27T00:00:00
CRM-000261,SERVICIOS CENTRAL S.A. DE C.V.,United States,Guadalajara,Corporate,,true,2024-10-15T00:00:00
CRM-000262,Corporativo Central SA de CV,US,CDMX,Business,,true,2022-04-14T00:00:00
