MANDT,ACCT,ITEM_NO,POST_DATE,VALUT,AMOUNT,WAERS,DC_IND,TEXT
100,000050000016,000010,20231010,20200829,2849050,MXN,S,Deposito
100,000050000016,000011,20230410,20210423,1563543,MXN,S,Transferencia
100,000050000016,000012,20240102,20241018,548621,MXN,H,Transferencia
100,000050000016,000013,20200513,20230915,1408050,MXN,H,Deposito
100,000050000016,000014,20240228,20211103,4800636,MXN,S,Comision
100,000050000017,000001,20230611,20220824,1885842,MXN,H,Transferencia
100,000050000017,000002,20240428,20211216,70234,MXN,H,Retiro
100,000050000017,000003,20240503,20241026,4310223,MXN,H,Retiro
100,000050000017,000004,20230826,20230423,3232518,MXN,H,Retiro
100,000050000017,000005,20240429,20240110,2011107,MXN,S,Deposito
100,000050000017,000006,20210724,20230208,1386039,MXN,H,Comision
100,000050000017,000007,20240124,20210521,4423257,MXN,H,Pago
100,000050000017,000008,20231101,20220403,4692220,MXN,S,Deposito
100,000050000017,000009,20230915,20210816,4640932,MXN,S,Retiro
100,000050000017,000010,20200320,20201119,3908959,MXN,S,Transferencia
100,000050000018,000001,20201212,20210606,4285198,MXN,H,Retiro
100,000050000018,000002,20201130,20220107,3379228,MXN,S,Comision
100,000050000018,000003,20210130,20210829,543128,MXN,H,Deposito
100,000050000018,000004,20240922,20220504,4098592,MXN,S,Comision
100,000050000018,000005,20200403,20231213,2087857,MXN,S,Pago
100,000050000018,000006,20200907,20241204,4839291,MXN,S,Retiro
100,000050000018,000007,20211031,20240512,2189014,MXN,S,Deposito
100,000050000018,000008,20210215,20211028,3262238,MXN,S,Deposito
100,000050000018,000009,20200319,20240323,2265324,MXN,H,Retiro
100,000050000018,000010,20240806,20230225,3272888,MXN,S,Transferencia
100,000050000019,000001,20220502,20240307,2961998,MXN,H,Retiro
100,000050000019,000002,20210621,20210319,3179103,MXN,S,Transferencia
100,000050000019,000003,20201227,20220120,1531042,MXN,S,Pago
100,000050000019,000004,20221022,20210128,320298,MXN,S,Retiro
100,000050000019,000005,20220907,20230726,4219779,MXN,H,Comision
100,000050000019,000006,20230620,20210406,4451389,MXN,S,Pago
100,000050000019,000007,20220324,20220227,4044407,MXN,S,Transferencia
100,000050000019,000008,20231106,20221204,2171412,MXN,H,Pago
100,000050000019,000009,20230316,20200307,1864115,MXN,H,Comision
100,000050000019,000010,20220822,20220611,1410335,MXN,S,Transferencia
100,000050000020,000001,20230609,20200414,3120701,MXN,S,Pago
100,000050000020,000002,20240324,20240815,2606460,MXN,S,Deposito
100,000050000020,000003,20220213,20200220,28059,MXN,H,Transferencia
100,000050000020,000004,20220520,20240313,1454660,MXN,S,Retiro
100,000050000020,000005,20230321,20221213,4260451,MXN,S,Pago
100,000050000020,000006,20230426,20210222,1666932,MXN,H,Pago
100,000050000020,000007,20200917,20240723,78725,MXN,S,Retiro
100,000050000020,000008,20200727,20241106,4495225,MXN,S,Pago
100,000050000020,000009,20220321,20240626,2036666,MXN,S,Comision
100,000050000021,000001,20220212,20221223,2512236,MXN,S,Transferencia
100,000050000021,000002,20240706,20240103,3313303,MXN,S,Transferencia
100,000050000021,000003,20240625,20210331,2420368,MXN,H,Transferencia
100,000050000021,000004,20210706,20240422,1241367,MXN,H,Retiro
100,000050000021,000005,20230305,20211124,3695230,MXN,H,Retiro
100,000050000021,000006,20231111,20230325,4074949,MXN,H,Comision
100,000050000021,000007,20201001,20210518,4032266,MXN,S,Pago
100,000050000021,000008,20230315,20240202,951799,MXN,S,Deposito
100,000050000021,000009,20200418,20200713,2316256,MXN,S,Pago
100,000050000021,000010,20200921,20241021,4414115,MXN,S,Retiro
100,000050000021,000011,20210401,20240318,2200995,MXN,H,Pago
100,000050000021,000012,20200511,20221225,1828127,MXN,H,Comision
100,000050000021,000013,20210526,20210330,2256243,MXN,H,Comision
100,000050000021,000014,20240828,20200410,2886001,MXN,S,Deposito
100,000050000021,000015,20200623,20200630,3200229,MXN,H,Pago
100,000050000022,000001,20200827,20211203,3307772,MXN,S,Pago
100,000050000022,000002,20211227,20220621,3156586,MXN,H,Retiro
100,000050000022,000003,20240825,20210713,3548145,MXN,S,Comision
100,000050000022,000004,20241027,20200521,2536851,MXN,S,Deposito
100,000050000022,000005,20240717,20220813,1980589,MXN,H,Comision
100,000050000022,000006,20210122,20200202,620083,MXN,S,Retiro
100,000050000022,000007,20200720,20220420,2973127,MXN,S,Retiro
100,000050000022,000008,20201121,20200611,3232056,MXN,S,Pago
100,000050000022,000009,20240103,20210608,967692,MXN,S,Deposito
100,000050000022,000010,20221024,20240318,996556,MXN,H,Retiro
100,000050000022,000011,20240727,20210416,4934192,MXN,H,Deposito
100,000050000022,000012,20220730,20230617,3516737,MXN,H,Deposito
100,000050000022,000013,20240718,20220211,4088306,MXN,S,Transferencia
100,000050000022,000014,20200624,20241124,432566,MXN,H,Pago
100,000050000022,000015,20231125,20220216,1423010,MXN,H,Pago
100,000050000022,000016,20221116,20210916,85996,MXN,S,Deposito
100,000050000022,000017,20210311,20210727,1106566,MXN,S,Retiro
100,000050000022,000018,20210611,20221003,4473828,MXN,S,Comision
100,000050000022,000019,20220321,20200216,2332812,MXN,H,Deposito
100,000050000023,000001,20220804,20200128,3613732,USD,H,Comision
100,000050000023,000002,20211005,20230929,1577106,USD,H,Pago
100,000050000023,000003,20200927,20221207,3942976,USD,H,Deposito
100,000050000023,000004,20210729,20211125,236652,USD,H,Retiro
100,000050000023,000005,20220407,20201208,555034,USD,H,Pago
100,000050000023,000006,20230405,20200321,139821,USD,H,Pago
100,000050000023,000007,20240630,20230223,1406712,USD,S,Transferencia
100,000050000023,000008,20230729,20210226,2811045,USD,H,Transferencia
100,000050000023,000009,20230611,20220708,3492208,USD,S,Deposito
100,000050000023,000010,20200623,20220807,452318,USD,H,Retiro
100,000050000023,000011,20210415,20220830,2623424,USD,S,Comision
100,000050000023,000012,20211017,20230120,215601,USD,S,Deposito
100,000050000024,000001,20220522,20231021,847386,MXN,H,Retiro
100,000050000024,000002,20230604,20211013,3013808,MXN,S,Pago
100,000050000024,000003,20230622,20200708,83532,MXN,H,Transferencia
100,000050000024,000004,20210411,20220223,1886768,MXN,H,Retiro
100,000050000024,000005,20231120,20241003,4724975,MXN,S,Retiro
100,000050000024,000006,20230721,20240827,317752,MXN,S,Transferencia
100,000050000024,000007,20230219,20210128,1006891,MXN,S,Retiro
100,000050000024,000008,20210413,20220815,3543534,MXN,S,Transferencia
100,000050000024,000009,20211108,20240624,37518,MXN,H,Deposito
100,000050000024,000010,20230310,20210316,2219780,MXN,S,Pago
100,000050000024,000011,20200126,20240212,3285853,MXN,S,Comision
100,000050000024,000012,20210920,20240316,1882974,MXN,S,Pago
100,000050000024,000013,20201004,20240807,3758717,MXN,H,Pago
100,000050000024,000014,20230522,20220106,2193573,MXN,S,Deposito
100,000050000024,000015,20200608,20201126,3516407,MXN,H,Comision
100,000050000024,000016,20200705,20200614,2529720,MXN,S,Transferencia
100,000050000024,000017,20201104,20210909,4145130,MXN,H,Transferencia
100,000050000024,000018,20240721,20220207,4985494,MXN,S,Pago
100,000050000025,000001,20201127,20240614,4615131,MXN,S,Pago
100,000050000025,000002,20200501,20220103,2489274,MXN,S,Transferencia
100,000050000025,000003,20201107,20230830,4950152,MXN,S,Transferencia
100,000050000025,000004,20210928,20220410,499364,MXN,S,Retiro
100,000050000025,000005,20230106,20210612,4448840,MXN,H,Transferencia
100,000050000025,000006,20220623,20231128,2343332,MXN,H,Pago
100,000050000025,000007,20230901,20220214,341327,MXN,S,Transferencia
100,000050000025,000008,20230730,20240819,1124081,MXN,H,Retiro
100,000050000025,000009,20220320,20240703,1045802,MXN,S,Deposito
100,000050000025,000010,20220804,20210830,253817,MXN,S,Pago
100,000050000025,000011,20210507,20201221,4199217,MXN,H,Retiro
100,000050000025,000012,20241119,20240323,785047,MXN,S,Deposito
100,000050000025,000013,20210701,20220709,2263487,MXN,H,Retiro
100,000050000025,000014,20200912,20230614,2852320,MXN,S,Pago
100,000050000025,000015,20200214,20240211,2524919,MXN,S,Retiro
100,000050000025,000016,20240416,20241024,3842703,MXN,S,Comision
100,000050000025,000017,20241121,20231216,2420650,MXN,H,Pago
100,000050000026,000001,20210711,20200115,1532230,USD,S,Pago
100,000050000026,000002,20200925,20230610,3029601,USD,H,Retiro
100,000050000026,000003,20240513,20240621,1085946,USD,S,Transferencia
100,000050000026,000004,20240718,20240912,4009616,USD,H,Retiro
100,000050000026,000005,20210605,20240625,1772028,USD,S,Pago
100,000050000026,000006,20210113,20220322,4110789,USD,S,Pago
100,000050000026,000007,20230520,20220228,1139408,USD,H,Transferencia
100,000050000026,000008,20230112,20240409,1751912,USD,S,Retiro
100,000050000026,000009,20220817,20230122,2415886,USD,S,Deposito
100,000050000026,000010,20221006,20240630,3850870,USD,H,Pago
100,000050000026,000011,20200915,20210928,1966272,USD,H,Deposito
100,000050000026,000012,20220124,20231107,2809433,USD,S,Deposito
100,000050000026,000013,20241026,20200215,226845,USD,H,Comision
100,000050000026,000014,20210924,20220605,3672680,USD,H,Pago
100,000050000027,000001,20200202,20220115,3014162,MXN,S,Retiro
100,000050000027,000002,20240922,20220123,2382939,MXN,H,Retiro
100,000050000027,000003,20220223,20240607,4051870,MXN,S,Retiro
100,000050000027,000004,20240107,20230612,3627387,MXN,H,Transferencia
100,000050000027,000005,20200226,20240417,449507,MXN,S,Deposito
100,000050000027,000006,20230718,20201027,4829850,MXN,S,Deposito
100,000050000027,000007,20220109,20200218,3553344,MXN,S,Pago
100,000050000027,000008,20240224,20220615,4190625,MXN,H,Transferencia
100,000050000027,000009,20200603,20210805,4661853,MXN,H,Comision
100,000050000027,000010,20240629,20200706,120596,MXN,S,Deposito
100,000050000027,000011,20241119,20210522,1273402,MXN,H,Retiro
100,000050000027,000012,20230307,20200206,3215163,MXN,H,Deposito
100,000050000027,000013,20200807,20200411,638845,MXN,S,Retiro
100,000050000027,000014,20220218,20200305,1910357,MXN,H,Comision
100,000050000028,000001,20200215,20200302,2267906,MXN,H,Deposito
100,000050000028,000002,20230524,20210810,244945,MXN,S,Deposito
100,000050000028,000003,20230723,20200128,4007978,MXN,H,Retiro
100,000050000028,000004,20230310,20200212,1890003,MXN,H,Pago
100,000050000028,000005,20200629,20200811,3786239,MXN,H,Transferencia
100,000050000028,000006,20230823,20210903,3141858,MXN,H,Retiro
100,000050000028,000007,20210628,20230729,1429351,MXN,H,Deposito
100,000050000029,000001,20210717,20210924,3079996,JPY,S,Pago
100,000050000029,000002,20240322,20200520,3259156,JPY,H,Deposito
100,000050000029,000003,20220427,20230222,2696353,JPY,S,Pago
100,000050000029,000004,20201018,20221212,1132396,JPY,H,Transferencia
100,000050000029,000005,20231226,20231219,4542584,JPY,H,Retiro
100,000050000029,000006,20230805,20211008,3133174,JPY,S,Transferencia
100,000050000029,000007,20200512,20200311,4309896,JPY,S,Transferencia
100,000050000029,000008,20200206,20230403,2858620,JPY,H,Transferencia
100,000050000029,000009,20220603,20220621,2529995,JPY,H,Transferencia
100,000050000029,000010,20200625,20230411,4215139,JPY,H,Comision
100,000050000029,000011,20210719,20230528,898171,JPY,H,Retiro
100,000050000029,000012,20221103,20230207,1075013,JPY,S,Retiro
100,000050000029,000013,20210908,20220322,3589653,JPY,H,Deposito
100,000050000029,000014,20200902,20240226,1523971,JPY,H,Pago
100,000050000029,000015,20210827,20220703,4556268,JPY,H,Transferencia
100,000050000029,000016,20210211,20210501,2834553,JPY,H,Comision
100,000050000029,000017,20220102,20231001,1744918,JPY,H,Pago
100,000050000029,000018,20220218,20230424,3725529,JPY,S,Pago
100,000050000029,000019,20240528,20210628,4602464,JPY,H,Retiro
100,000050000030,000001,20210306,20210526,1215602,MXN,H,Transferencia
100,000050000030,000002,20220126,20240928,666603,MXN,S,Deposito
100,000050000030,000003,20210506,20201003,55366,MXN,S,Comision
100,000050000030,000004,20241102,20210207,3772275,MXN,S,Transferencia
100,000050000030,000005,20230228,20211220,3432699,MXN,S,Retiro
100,000050000030,000006,20200812,20230507,3966903,MXN,H,Transferencia
100,000050000030,000007,20230121,20200605,1165741,MXN,H,Retiro
100,000050000030,000008,20210907,20211214,4672470,MXN,S,Retiro
100,000050000031,000001,20220331,20220428,3144829,MXN,H,Transferencia
100,000050000032,000001,20230710,20240808,1477903,CLP,S,Deposito
100,000050000032,000002,20211210,20240325,1739461,CLP,H,Transferencia
100,000050000032,000003,20220512,20200615,2655710,CLP,S,Deposito
100,000050000032,000004,20210815,20220727,166042,CLP,S,Pago
100,000050000032,000005,20230122,20210804,2924710,CLP,H,Deposito
100,000050000032,000006,20200706,20211016,577074,CLP,S,Retiro
100,000050000032,000007,20231011,20240921,1011732,CLP,H,Retiro
100,000050000032,000008,20230331,20230826,2416090,CLP,H,Pago
100,000050000032,000009,20200212,20200129,3333800,CLP,S,Transferencia
100,000050000032,000010,20220907,20230808,4170276,CLP,H,Comision
100,000050000032,000011,20230423,20240127,268988,CLP,S,Comision
100,000050000032,000012,20230816,20240818,2448407,CLP,S,Deposito
100,000050000032,000013,20240308,20200505,3395510,CLP,H,Pago
100,000050000032,000014,20210124,20210210,302500,CLP,H,Retiro
100,000050000033,000001,20240207,20200523,1788093,MXN,S,Transferencia
100,000099000386,000002,20220131,20240514,1256408,MXN,S,Deposito
100,000050000033,000003,20240719,20200207,498196,MXN,S,Transferencia
100,000050000033,000004,20231011,20240813,2664578,MXN,S,Pago
100,000050000033,000005,20210708,20221218,1532483,MXN,H,Pago
100,000050000033,000006,20200824,20231007,1732758,MXN,S,Retiro
100,000050000033,000007,20200206,20210702,4791020,MXN,H,Transferencia
100,000050000033,000008,20220314,20231104,186868,MXN,H,Transferencia
100,000050000033,000009,20240131,20230917,4517785,MXN,H,Transferencia
100,000050000033,000010,20220501,20200722,4392251,MXN,H,Pago
100,000050000033,000011,20240505,20200207,3274835,MXN,H,Retiro
100,000050000033,000012,20210324,20200929,58872,MXN,H,Comision
100,000050000033,000013,20220610,20230423,1449117,MXN,H,Pago
100,000050000033,000014,20211022,20200605,1544440,MXN,S,Pago
100,000050000033,000015,20241101,20230526,1030170,MXN,S,Pago
100,000050000033,000016,20240427,20200101,2489391,MXN,S,Retiro
100,000050000033,000017,20221003,20210420,2330499,MXN,S,Comision
100,000050000033,000018,20230307,20210908,4563538,MXN,H,Pago
100,000050000033,000019,20240413,20240818,4036101,MXN,H,Deposito
100,000050000034,000001,20220131,20230904,2851046,CLP,H,Deposito
100,000050000034,000002,20201121,20220811,846421,CLP,S,Comision
100,000050000034,000003,20201128,20241031,739893,CLP,H,Comision
100,000050000034,000004,20220810,20220321,2739709,CLP,S,Transferencia
100,000050000034,000005,20210723,20230126,538022,CLP,S,Pago
100,000050000034,000006,20210531,20200724,3790211,CLP,S,Pago
100,000050000034,000007,20221113,20220408,3830259,CLP,H,Retiro
100,000050000034,000008,20220819,20200506,2216299,CLP,S,Pago
100,000050000035,000001,20240720,20230706,66823,MXN,S,Deposito
100,000050000035,000002,20220724,20200903,891761,MXN,H,Retiro
100,000050000035,000003,20211020,20241114,3889626,MXN,H,Pago
100,000050000035,000004,20231203,20230511,3668250,MXN,S,Deposito
100,000050000035,000005,20210417,20200602,4169769,MXN,H,Retiro
100,000050000035,000006,20230517,20231025,1290577,MXN,H,Comision
100,000050000035,000007,20220626,20230429,853221,MXN,H,Pago
100,000050000035,000008,20240110,20230422,4293889,MXN,S,Comision
100,000050000035,000009,20240831,20220305,4136005,MXN,H,Comision
100,000050000035,000010,20231007,20220128,1350871,MXN,H,Transferencia
100,000050000035,000011,20200110,20241108,3324946,MXN,H,Retiro
100,000050000036,000001,20220329,20220812,4443532,MXN,H,Comision
100,000050000036,000002,20211014,20220720,3853092,MXN,H,Comision
100,000050000036,000003,20210422,20231005,447013,MXN,S,Transferencia
100,000050000036,000004,20230905,20200502,1318003,MXN,S,Comision
