MANDT,ACCT,PARTNER,PRODUCT,WAERS,OPEN_DATE,STATUS,LOEVM
100,000050000161,0001000117,DDA,MXN,20220104,A,
100,000050000162,0001000118,MMA,USD,20211225,A,
100,000050000163,0001000118,SAV,MXN,20230222,A,
100,000050000164,0001000119,MMA,MXN,20221222,A,
100,000050000165,0001000120,DDA,USD,20230326,A,
100,000050000166,,SAV,MXN,20240501,A,
100,000050000167,0001000121,SAV,CLP,20231202,A,
100,000050000168,0001000122,SAV,USD,20230724,A,
100,000050000169,0001000123,MMA,CLP,20240922,A,
100,000050000170,0001000123,SAV,MXN,20241024,A,
100,000050000171,0001000123,SAV,MXN,20231201,A,
100,000050000172,0001000124,MMA,MXN,20200512,C,X
100,000050000173,0001000124,MMA,MXN,20221222,A,
100,000050000174,0001000125,SAV,USD,20240712,A,
100,000050000175,0001000125,DDA,MXN,20240702,A,
100,000050000176,0001000126,SAV,MXN,20220502,A,
100,000050000177,0001000126,SAV,JPY,20220823,A,
100,000050000178,0001000127,SAV,MXN,20230409,A,
100,000050000179,,SAV,MXN,20200201,A,
100,000050000180,0001000129,MMA,MXN,20220519,A,
100,000050000181,0001000130,DDA,MXN,20220903,A,
100,000050000182,0001000131,DDA,MXN,20210901,A,
100,000050000183,0001000132,SAV,USD,20200507,A,
100,000050000184,0001000132,DDA,CLP,20200605,A,
100,000050000185,0001000133,MMA,MXN,20220428,A,
100,000050000186,0001000134,MMA,MXN,20221201,A,
100,000050000187,0001000135,DDA,MXN,20240805,A,
100,000050000188,0001000136,MMA,MXN,20201105,A,
100,000050000189,0001000137,SAV,MXN,20220707,A,
100,000050000190,0001000137,MMA,MXN,20230903,A,
100,000050000191,0001000138,SAV,MXN,20210216,C,X
100,000050000192,0001000138,DDA,USD,20240221,A,
100,000050000193,0001000139,SAV,USD,20240806,A,
100,000050000194,0001000140,SAV,MXN,20210809,A,
100,000050000195,0001000141,DDA,MXN,20230125,A,
100,000050000196,0001000142,MMA,MXN,20220718,A,
100,000050000197,0001000143,MMA,USD,20220126,A,
100,000050000198,0001000143,MMA,JPY,20200101,A,
100,000050000199,0001000144,MMA,MXN,20240212,A,
100,000050000200,0001000145,DDA,MXN,20220215,A,
100,000050000201,0001000145,SAV,MXN,20201112,A,
100,000050000202,0001000146,MMA,MXN,20220123,A,
100,000050000203,0001000147,SAV,USD,20241104,A,
100,000050000204,0001000148,MMA,MXN,20220202,A,
100,000050000205,0001000149,DDA,USD,20221105,A,
100,000050000206,0001000150,MMA,MXN,20210914,A,
100,000050000207,0001000150,MMA,MXN,20200212,A,
100,000050000208,,SAV,MXN,20240220,A,
100,000050000209,0001000151,MMA,MXN,20220904,A,
100,000050000210,0001000152,MMA,USD,20220719,A,
100,000050000211,0001000152,SAV,MXN,20220803,A,
100,000050000212,0001000153,DDA,MXN,20230110,A,
100,000050000213,0001000154,SAV,USD,20241111,A,
100,000050000214,0001000155,DDA,MXN,20210623,A,
100,000050000215,0001000156,DDA,USD,20200117,A,
100,000050000216,0001000157,MMA,MXN,20230718,A,
100,000050000217,,DDA,MXN,20221204,A,
100,000050000218,0001000158,DDA,JPY,20200927,A,
100,000050000219,0001000159,MMA,USD,20200616,A,
100,000050000220,0001000160,SAV,MXN,20240913,A,
100,000050000221,0001000160,DDA,MXN,20210904,A,
100,000050000222,0001000161,MMA,MXN,20221205,A,
100,000050000223,0001000162,SAV,MXN,20221023,A,
100,000050000224,0001000163,SAV,MXN,20210313,A,
100,000050000225,0001000164,DDA,MXN,20230721,A,
100,000050000226,0001000165,SAV,MXN,20240706,A,
100,000050000227,0001000166,DDA,MXN,20230211,A,
100,000050000228,0001000166,SAV,JPY,20210925,A,
100,000050000229,0001000166,MMA,MXN,20221013,A,
100,000050000230,0001000167,DDA,USD,20210728,A,
100,000050000231,0001000168,MMA,USD,20220818,A,
100,000050000232,0001000169,MMA,MXN,20240515,C,X
100,000050000233,0001000169,SAV,JPY,20240823,A,
100,000050000234,0001000170,SAV,USD,20231023,A,
100,000050000235,0001000171,DDA,JPY,20210815,A,
100,000050000236,0001000171,DDA,USD,20200317,A,
100,000050000237,0001000172,MMA,MXN,20220410,A,
100,000050000238,0001000172,DDA,MXN,20210125,A,
100,000050000239,0001000173,SAV,MXN,20211115,A,
100,000050000240,0001000174,DDA,MXN,20210411,A,
100,000050000241,0001000175,DDA,MXN,20230423,A,
100,000050000242,0001000176,DDA,MXN,20240609,A,
100,000050000243,0001000176,DDA,MXN,20200720,A,
100,000050000244,0001000177,SAV,MXN,20221220,A,
100,000050000245,0001000177,DDA,MXN,20210210,A,
100,000050000246,0001000178,MMA,USD,20230222,A,
100,000050000247,0001000179,MMA,MXN,20240907,A,
100,000050000248,0001000180,SAV,USD,20230912,A,
100,000050000249,0001000181,DDA,USD,20230115,A,
100,000050000250,0001000182,MMA,JPY,20201106,A,
100,000050000251,0001000182,SAV,USD,20230122,A,
100,000050000252,0001000183,DDA,MXN,20231201,A,
100,000050000253,0001000183,DDA,USD,20200627,A,
100,000050000254,0001000183,DDA,MXN,20230113,A,
100,000050000255,0001000184,DDA,MXN,20210427,A,
100,000050000256,0001000184,DDA,MXN,20231025,A,
100,000050000257,0001000185,SAV,MXN,20200224,A,
100,000050000258,0001000185,MMA,MXN,20240220,A,
100,000050000259,0001000186,MMA,MXN,20240830,A,
100,000050000260,0001000187,MMA,MXN,20240901,A,
100,000050000261,0001000187,DDA,USD,20230808,A,
100,000050000262,0001000187,SAV,MXN,20200831,C,X
100,000050000263,0001000188,DDA,MXN,20230614,A,
100,000050000264,0001000189,MMA,MXN,20220710,A,
100,000050000265,0001000190,MMA,MXN,20200829,A,
100,000050000266,0001000191,DDA,JPY,20231228,A,
100,000050000267,0001000191,MMA,MXN,20240402,A,
100,000050000268,0001000191,MMA,MXN,20231211,A,
100,000050000269,0001000192,SAV,MXN,20200803,A,
100,000050000270,0001000193,MMA,MXN,20241004,A,
100,000050000271,0001000193,DDA,USD,20200812,A,
100,000050000272,0001000194,MMA,MXN,20240621,A,
100,000050000273,0001000195,SAV,MXN,20240831,A,
100,000050000274,0001000195,SAV,USD,20200523,A,
100,000050000275,0001000196,DDA,MXN,20241028,A,
100,000050000276,0001000196,DDA,MXN,20240319,A,
100,000050000277,0001000197,SAV,MXN,20230528,A,
100,000050000278,,MMA,MXN,20200602,A,
100,000050000279,0001000198,SAV,MXN,20220728,A,
100,000050000280,0001000199,DDA,MXN,20220710,A,
100,000050000281,0001000199,DDA,MXN,20220322,A,
100,000050000282,0001000200,SAV,MXN,20240413,A,
100,000050000283,0001000201,MMA,USD,20211220,A,
100,000050000284,,MMA,USD,20220514,A,
100,000050000285,0001000203,SAV,MXN,20210210,A,
100,000050000286,0001000204,MMA,MXN,20200731,A,
100,000050000287,0001000205,MMA,MXN,20230305,A,
100,000050000288,0001000206,SAV,USD,20200716,A,
100,000050000289,0001000207,MMA,CLP,20240307,C,X
100,000050000290,0001000207,DDA,MXN,20230926,C,X
100,000050000291,0001000208,SAV,USD,20220927,A,
100,000050000292,0001000208,MMA,USD,20231101,A,
100,000050000293,0001000209,SAV,MXN,20200602,A,
100,000050000294,0001000210,SAV,MXN,20240609,A,
100,000050000295,0001000211,MMA,USD,20240922,A,
100,000050000296,0001000212,SAV,MXN,20210401,A,
100,000050000297,0001000212,MMA,JPY,20210906,A,
100,000050000298,0001000213,DDA,MXN,20230601,A,
100,000050000299,0001000214,DDA,CLP,20221228,A,
100,000050000300,0001000215,DDA,MXN,20220513,A,
100,000050000301,0001000216,DDA,MXN,20210129,A,
100,000050000302,0001000217,SAV,USD,20210408,A,
100,000050000303,0001000218,MMA,USD,20221007,A,
100,000050000304,0001000219,DDA,MXN,20231106,A,
100,000050000305,0001000219,SAV,MXN,20230802,A,
100,000050000306,0001000220,SAV,MXN,20220721,A,
100,000050000307,0001000220,MMA,MXN,20210115,A,
100,000050000308,0001000221,DDA,MXN,20210107,A,
100,000050000309,0001000222,MMA,JPY,20230127,A,
100,000050000310,0001000223,MMA,MXN,20200923,A,
100,000050000311,0001000223,MMA,MXN,20200205,A,
100,000050000312,0001000224,SAV,MXN,20220605,A,
100,000050000313,0001000225,DDA,MXN,20230924,A,
100,000050000314,0001000226,MMA,USD,20200510,A,
100,000050000315,0001000226,MMA,MXN,20230414,A,
100,000050000316,0001000227,DDA,MXN,20231210,A,
100,000050000317,0001000228,SAV,MXN,20200208,A,
100,000050000318,0001000228,DDA,USD,20240403,A,
100,000050000319,0001000229,SAV,USD,20210113,A,
100,000050000320,0001000230,DDA,MXN,20221121,A,
100,000050000321,0001000230,DDA,USD,20220913,A,
100,000050000322,0001000231,SAV,USD,20211001,A,
100,000050000323,0001000232,SAV,MXN,20240512,A,
100,000050000324,0001000232,SAV,MXN,20220102,A,
100,000050000325,0001000233,SAV,USD,20220416,A,
100,000050000326,0001000234,DDA,MXN,20240101,A,
100,000050000327,0001000234,SAV,MXN,20211204,A,
100,000050000328,0001000235,DDA,USD,20240608,A,
100,000050000329,,DDA,MXN,20210316,A,
100,000050000330,0001000237,SAV,MXN,20200928,A,
100,000050000331,0001000238,DDA,MXN,20210319,A,
100,000050000332,0001000239,DDA,MXN,20200111,A,
100,000050000333,0001000239,MMA,MXN,20240504,A,
100,000050000334,0001000239,MMA,MXN,20230322,A,
100,000050000335,0001000240,MMA,JPY,20200827,A,
100,000050000336,0001000240,DDA,MXN,20220604,A,
100,000050000337,0001000241,MMA,MXN,20200610,A,
100,000050000338,0001000242,SAV,MXN,20210513,C,X
100,000050000339,0001000242,MMA,MXN,20220527,A,
100,000050000340,0001000243,SAV,USD,20220323,A,
100,000050000341,0001000243,SAV,USD,20240119,A,
100,000050000342,0001000244,DDA,MXN,20211204,A,
100,000050000343,0001000244,SAV,MXN,20221217,A,
100,000050000344,0001000245,SAV,MXN,20210419,C,X
100,000050000345,0001000246,SAV,USD,20230120,A,
100,000050000346,0001000247,MMA,MXN,20240119,A,
100,000050000347,0001000247,SAV,USD,20211129,A,
100,000050000348,0001000248,MMA,CLP,20211208,A,
100,000050000349,0001000249,DDA,MXN,20230910,A,
100,000050000350,0001000250,DDA,MXN,20210727,A,
100,000050000351,0001000251,MMA,MXN,20210902,A,
100,000050000352,0001000251,DDA,MXN,20210710,A,
100,000050000353,0001000252,SAV,USD,20230828,A,
100,000050000354,0001000253,MMA,MXN,20240627,A,
100,000050000355,0001000253,MMA,MXN,20220206,A,
100,000050000356,0001000254,SAV,MXN,20200802,A,
100,000050000357,0001000255,DDA,CLP,20220103,A,
100,000050000358,0001000256,SAV,MXN,20230524,A,
100,000050000359,0001000257,MMA,MXN,20230812,A,
100,000050000360,0001000257,MMA,USD,20230826,A,
100,000050000361,0001000258,SAV,USD,20200606,A,
100,000050000362,0001000259,SAV,MXN,20200917,A,
100,000050000363,0001000260,DDA,JPY,20220312,A,
100,000050000364,0001000260,DDA,USD,20241017,A,
100,000050000365,0001000260,DDA,MXN,20220627,A,
100,000050000366,0001000261,DDA,MXN,20210710,A,
100,000050000367,0001000262,SAV,MXN,20201221,A,
100,000050000368,0001000263,MMA,MXN,20200723,A,
100,000050000369,0001000263,MMA,MXN,20240114,C,X
100,000050000370,0001000264,MMA,MXN,20200811,A,
100,000050000371,0001000264,SAV,MXN,20200206,A,
100,000050000372,0001000265,MMA,MXN,20240624,A,
100,000050000373,0001000266,SAV,MXN,20210409,A,
100,000050000374,0001000267,SAV,MXN,20220114,A,
100,000050000375,0001000268,MMA,USD,20210606,A,
100,000050000376,0001000269,DDA,JPY,20240619,A,
100,000050000377,0001000270,SAV,USD,20241127,A,
100,000050000378,0001000271,SAV,JPY,20240822,A,
100,000050000379,0001000271,DDA,MXN,20220515,A,
100,000050000380,0001000272,MMA,MXN,20200704,A,
100,000050000381,0001000273,MMA,MXN,20200517,A,
100,000050000382,0001000273,DDA,MXN,20230531,A,
100,000050000383,0001000274,MMA,USD,20240311,A,
100,000050000384,0001000275,MMA,MXN,20241014,A,
100,000050000385,,DDA,MXN,20240522,A,
100,000050000386,0001000277,DDA,CLP,20211229,A,
100,000050000387,0001000278,DDA,MXN,20220108,A,
100,000050000388,0001000279,MMA,MXN,20210126,A,
100,000050000389,0001000279,DDA,JPY,20240130,A,
100,000050000390,0001000280,MMA,MXN,20240330,A,
100,000050000391,0001000281,SAV,JPY,20220807,A,
100,000050000392,0001000282,SAV,CLP,20211224,A,
100,000050000393,0001000282,SAV,MXN,20221110,A,
100,000050000394,0001000282,DDA,MXN,20210225,A,
100,000050000395,0001000283,MMA,USD,20210910,A,
100,000050000396,0001000283,DDA,MXN,20200614,A,
100,000050000397,0001000284,DDA,USD,20200612,A,
100,000050000398,0001000285,SAV,MXN,20220612,A,
100,000050000399,0001000285,DDA,MXN,20240707,A,
100,000050000400,0001000286,DDA,USD,20221229,A,
100,000050000401,0001000287,DDA,USD,20210327,A,
100,000050000402,0001000288,DDA,MXN,20210422,A,
100,000050000403,0001000288,SAV,USD,20200611,A,
100,000050000404,0001000289,SAV,MXN,20210104,A,
100,000050000405,0001000290,DDA,MXN,20221231,A,
100,000050000406,0001000290,SAV,JPY,20230415,A,
100,000050000407,0001000291,DDA,JPY,20210918,A,
100,000050000408,0001000292,DDA,MXN,20200714,A,
100,000050000409,0001000293,MMA,JPY,20200114,A,
100,000050000410,0001000294,DDA,MXN,20200420,A,
100,000050000411,0001000295,DDA,USD,20220817,A,
100,000050000412,0001000295,DDA,JPY,20230415,A,
100,000050000413,0001000296,MMA,MXN,20240706,A,
100,000050000414,0001000297,DDA,MXN,20220213,A,
100,000050000415,0001000298,SAV,MXN,20240308,A,
100,000050000416,0001000299,SAV,JPY,20230301,A,
100,000050000417,0001000300,MMA,CLP,20240329,A,
