MANDT,PARTNER,TYPE,NAME_ORG1,NAME_FIRST,NAME_LAST,LAND1,XDELE,CRDAT
100,0001000043,1,,Jose,Gonzalez Perez,MX,,20200912
100,0001000044,1,,Marta,Rivera Rodriguez,MX,,20230404
100,0001000045,2,Industrias Peninsular,,,MX,,20220119
100,0001000046,1,,Pedro,Martinez Lopez,MX,,20210721
100,0001000047,2,Servicios Continental,,,US,,20230409
100,0001000048,2,Grupo Central,,,MX,,20221228
100,0001000049,1,,Maria,Rodriguez Martinez,MX,,20220404
100,0001000050,2,Constructora Continental SAPI de CV,,,MX,,20200823
100,0001000051,2,Servicios del Bajio,,,MX,,20200415
100,0001000052,2,Banco Continental S.A.,,,MX,,20211208
100,0001000053,2,Constructora Central S.A. de C.V.,,,MX,,20221106
100,0001000054,1,,Luis,Perez Hernandez,CL,,20220517
100,0001000055,1,,Marta,Rodriguez Flores,MX,,20201128
100,0001000056,2,Corporativo Peninsular SA de CV,,,MX,,20201014
100,0001000057,2,Distribuidora del Norte,,,MX,,20201228
100,0001000058,2,Transportes Central SA de CV,,,CL,,20200206
100,0001000059,2,Transportes Central,,,MX,,20240217
100,0001000060,2,Industrias del Pacifico SA de CV,,,MX,,20201211
100,0001000061,1,,Marta,Gonzalez Lopez,US,,20220216
100,0001000062,2,Comercial Latina SA,,,MX,X,20220201
100,0001000063,1,,Ana,Ramirez Rivera,MX,,20220216
100,0001000064,2,Corporativo Peninsular S.A. de C.V.,,,US,X,20200630
100,0001000065,2,Inmobiliaria del Norte SAPI de CV,,,CL,,20220719
100,0001000066,2,Inmobiliaria Regio,,,MX,,20220323
100,0001000067,2,Servicios Continental SAPI de CV,,,CL,,20211202
100,0001000068,2,Constructora del Norte S.A. de C.V.,,,MX,,20220625
100,0001000069,2,Corporativo del Pacifico S.A.,,,MX,,20221226
100,0001000070,2,Transportes del Golfo SAPI de CV,,,US,,20220622
100,0001000071,2,Distribuidora del Pacifico SA de CV,,,US,,20240415
100,0001000072,1,,Ana,Perez Sanchez,MX,,20201008
100,0001000073,2,Constructora Azteca SAPI de CV,,,MX,,20200707
100,0001000074,2,Distribuidora Continental SA,,,US,,20200630
100,0001000075,2,Constructora Peninsular S.A.,,,CL,,20230512
100,0001000076,1,,Jose,Rodriguez Perez,US,,20220718
100,0001000077,1,,Juan,Rodriguez Flores,CL,,20240812
100,0001000078,2,Grupo del Golfo S.A. de C.V.,,,MX,,20240831
100,0001000079,2,Corporativo del Bajio,,,CL,,20210308
100,0001000080,1,,Ana,Ramirez Lopez,US,,20200321
100,0001000081,1,,Jose,Ramirez Rodriguez,MX,X,20240217
100,0001000082,2,Corporativo del Golfo SA de CV,,,US,,20240303
100,0001000083,1,,Marta,Ramirez Flores,MX,,20201214
100,0001000084,1,,Guadalupe,Rivera Ramirez,US,X,20200621
100,0001000085,1,,Francisco,Rodriguez Perez,MX,,20240616
100,0001000086,2,Grupo del Golfo SA,,,US,,20210516
100,0001000087,1,,Luis,Hernandez Gonzalez,MX,,20200812
100,0001000088,1,,Luis,Torres Rodriguez,MX,,20241123
100,0001000089,1,,Maria,Garcia Gonzalez,CL,,20210707
100,0001000090,2,Constructora del Bajio S.A.,,,US,,20230313
100,0001000091,2,Comercial Peninsular SAPI de CV,,,CL,,20240520
100,0001000092,2,Grupo Latina S.A. de C.V.,,,CL,,20200307
100,0001000093,1,,Pedro,Rivera Garcia,MX,,20220627
100,0001000094,1,,Jose,Sanchez Ramirez,MX,,20230103
100,0001000095,1,,Juan,Lopez Perez,MX,,20230907
100,0001000096,2,Corporativo del Golfo S.A.,,,MX,,20210927
100,0001000097,2,Industrias del Golfo SA,,,US,,20200505
100,0001000098,2,Grupo del Pacifico SAPI de CV,,,MX,,20211116
100,0001000099,2,Comercial del Pacifico S.A. de C.V.,,,MX,,20230702
100,0001000100,1,,Ana,Sanchez Perez,MX,,20210827
100,0001000101,2,Inmobiliaria del Norte S.A.,,,CL,,20210709
100,0001000102,1,,Francisco,Gonzalez Flores,MX,,20200629
100,0001000103,2,Transportes Continental S.A.,,,MX,,20221217
100,0001000104,2,Industrias del Norte SA de CV,,,US,,20220414
100,0001000105,2,Inmobiliaria Continental S.A.,,,CL,,20200404
100,0001000106,1,,Maria,Ramirez Flores,MX,,00000000
100,0001000107,1,,Jose,Hernandez Rodriguez,MX,,20230315
100,0001000108,1,,Guadalupe,Rivera Rodriguez,US,,20220410
100,0001000109,2,Transportes Peninsular,,,CL,,00000000
100,0001000110,2,Constructora Azteca SA de CV,,,CL,,00000000
100,0001000111,2,Industrias Latina S.A.,,,MX,,20221006
100,0001000112,2,Constructora Central SA de CV,,,MX,,20220327
100,0001000113,2,Inmobiliaria Azteca,,,US,,20220225
100,0001000114,1,,Juan,Lopez Flores,MX,,20210824
100,0001000115,1,,Jose,Lopez Rodriguez,US,,20210812
100,0001000116,1,,Pedro,Flores Ramirez,US,,20230413
100,0001000117,1,,Miguel,Rodriguez Perez,MX,,20220621
100,0001000118,2,Grupo Peninsular SA de CV,,,MX,,20210213
100,0001000119,2,Constructora del Norte,,,MX,,00000000
100,0001000120,2,Transportes Regio S.A.,,,MX,,20210309
100,0001000121,1,,Carlos,Ramirez Lopez,CL,,20230531
100,0001000122,1,,Guadalupe,Lopez Hernandez,CL,,20230511
100,0001000123,2,Corporativo del Golfo,,,CL,,20201124
100,0001000124,2,Servicios Peninsular,,,US,,20201103
100,0001000125,1,,Luis,Gonzalez Perez,CL,,20201231
100,0001000126,1,,Miguel,Rodriguez Torres,MX,,20240605
100,0001000127,2,Inmobiliaria del Golfo S.A.,,,CL,,20200809
100,0001000128,1,,Jose,Rivera Sanchez,CL,,00000000
100,0001000129,2,Industrias del Norte,,,MX,,20231026
100,0001000130,2,Grupo del Norte,,,MX,,20210822
100,0001000131,2,Banco Latina S.A.,,,MX,,20200817
100,0001000132,2,Grupo del Pacifico S.A. de C.V.,,,MX,,20220709
100,0001000133,1,,Marta,Rivera Garcia,MX,,20201124
100,0001000134,2,Distribuidora Peninsular SAPI de CV,,,MX,,20220525
100,0001000135,1,,Marta,Sanchez Gonzalez,MX,,20210515
100,0001000136,1,,Francisco,Martinez Garcia,MX,,20200110
100,0001000137,2,Banco del Bajio SA de CV,,,US,,20220818
100,0001000138,2,Corporativo del Pacifico,,,MX,,20220102
100,0001000139,2,Industrias Continental SA de CV,,,MX,,20230614
100,0001000140,1,,Ana,Sanchez Hernandez,MX,,20220907
100,0001000141,2,Constructora Central S.A. de C.V.,,,US,,20241105
100,0001000142,2,Comercial Continental SAPI de CV,,,MX,,20200326
100,0001000143,2,Inmobiliaria Central S.A.,,,CL,,20220408
100,0001000144,2,Grupo del Pacifico S.A.,,,MX,,20240822
100,0001000145,2,Distribuidora Continental,,,US,,20210429
100,0001000146,1,,Marta,Ramirez Gonzalez,US,,20201026
100,0001000147,2,Comercial Peninsular SA de CV,,,CL,X,20221221
100,0001000148,2,Constructora Peninsular S.A. de C.V.,,,CL,,20211023
100,0001000149,1,,Juan,Sanchez Hernandez,MX,,20200813
100,0001000150,1,,Luis,Flores Gonzalez,US,,20220325
100,0001000151,2,Constructora Central SA de CV,,,MX,,20210821
100,0001000152,2,Transportes Azteca SAPI de CV,,,MX,,20200703
100,0001000153,2,Constructora del Bajio SAPI de CV,,,CL,,20201230
100,0001000154,2,Inmobiliaria Azteca S.A. de C.V.,,,MX,X,20200127
100,0001000155,1,,Francisco,Gonzalez Sanchez,CL,,20210313
100,0001000156,1,,Guadalupe,Martinez Flores,CL,,20210809
100,0001000157,1,,Miguel,Garcia Torres,CL,,20230313
100,0001000158,1,,Luis,Rodriguez Torres,CL,,20240928
100,0001000159,2,Transportes Latina SAPI de CV,,,MX,,20230316
100,0001000160,2,Corporativo Regio SA de CV,,,MX,,20200616
100,0001000161,2,Inmobiliaria Azteca S.A. de C.V.,,,MX,,20200817
100,0001000162,1,,Maria,Perez Sanchez,US,,20231102
100,0001000163,1,,Pedro,Ramirez Perez,CL,,20210628
100,0001000164,2,Constructora Central S.A.,,,MX,,20241012
100,0001000165,2,Transportes Latina SAPI de CV,,,MX,,20230103
100,0001000166,1,,Guadalupe,Flores Martinez,CL,,20210213
100,0001000167,2,Distribuidora del Golfo SAPI de CV,,,MX,,20210801
100,0001000168,2,Distribuidora Azteca S.A. de C.V.,,,US,,20221028
100,0001000169,1,,Pedro,Flores Perez,MX,,20220314
100,0001000170,2,Grupo del Norte SA de CV,,,CL,,20220711
100,0001000171,2,Industrias Latina SA de CV,,,MX,,20220430
100,0001000172,2,Transportes del Pacifico SA de CV,,,CL,,20220806
100,0001000173,1,,Luis,Hernandez Garcia,MX,,20240415
100,0001000174,2,Distribuidora Azteca S.A.,,,MX,,20210423
100,0001000175,2,Corporativo del Bajio S.A. de C.V.,,,MX,,20220101
100,0001000176,2,Distribuidora Regio SA de CV,,,MX,,20201110
100,0001000177,2,Inmobiliaria Regio S.A. de C.V.,,,MX,,20210324
100,0001000178,2,Transportes del Norte,,,CL,,20230713
100,0001000179,1,,Luis,Torres Garcia,CL,,20221002
100,0001000180,2,Transportes Continental S.A. de C.V.,,,MX,,20231011
100,0001000181,2,Banco del Golfo S.A.,,,MX,,20221215
100,0001000182,1,,Marta,Rivera Martinez,MX,,20240601
100,0001000183,1,,Rosa,Rivera Rodriguez,CL,,20230216
100,0001000184,2,Transportes Regio S.A. de C.V.,,,MX,,20200908
100,0001000185,1,,Marta,Martinez Flores,MX,,20231218
100,0001000186,1,,Pedro,Martinez Hernandez,MX,,00000000
100,0001000187,1,,Francisco,Rivera Torres,MX,,20240728
100,0001000188,2,Servicios del Golfo SAPI de CV,,,CL,,20240103
100,0001000189,1,,Jose,Perez Lopez,MX,,20240216
100,0001000190,2,Distribuidora Peninsular,,,CL,,20230416
100,0001000191,2,Grupo Regio SAPI de CV,,,MX,,20200401
100,0001000192,1,,Ana,Ramirez Torres,MX,,20200811
100,0001000193,2,Constructora Continental SA de CV,,,US,,20200925
100,0001000194,1,,Pedro,Martinez Torres,US,,20201223
100,0001000195,2,Corporativo del Norte S.A.,,,CL,,20230222
100,0001000196,2,Inmobiliaria del Pacifico S.A. de C.V.,,,MX,,20241030
100,0001000197,2,Corporativo Central SA de CV,,,MX,,20200131
100,0001000198,2,Servicios Regio SA,,,MX,,20201113
100,0001000199,2,Servicios Regio SA,,,CL,,20210203
100,0001000200,1,,Pedro,Lopez Torres,MX,,20200524
100,0001000201,1,,Juan,Gonzalez Perez,MX,,20240629
100,0001000202,1,,Rosa,Hernandez Martinez,CL,,20240922
100,0001000203,1,,Marta,Sanchez Rivera,CL,,00000000
100,0001000204,2,Corporativo Regio SAPI de CV,,,MX,,20231006
100,0001000205,1,,Pedro,Gonzalez Gonzalez,MX,,20201120
100,0001000206,2,Constructora Regio S.A. de C.V.,,,CL,,20221107
100,0001000207,1,,Juan,Perez Ramirez,CL,,20201201
100,0001000208,1,,Maria,Torres Martinez,MX,,20221014
100,0001000209,2,Servicios Latina SA de CV,,,US,,20230918
100,0001000210,1,,Maria,Gonzalez Gonzalez,US,,20220707
100,0001000211,2,Constructora Peninsular S.A. de C.V.,,,MX,,20210330
100,0001000212,2,Grupo del Norte SA,,,US,,20240822
100,0001000213,2,Servicios Peninsular SAPI de CV,,,US,,20210717
100,0001000214,1,,Marta,Garcia Ramirez,MX,,20230708
100,0001000215,2,Transportes del Pacifico SA,,,US,,20230430
100,0001000216,2,Industrias Central SAPI de CV,,,CL,,20200908
100,0001000217,1,,Marta,Martinez Rivera,US,,20230203
100,0001000218,2,Transportes Latina,,,CL,,20210719
100,0001000219,1,,Francisco,Rodriguez Flores,MX,,20210220
100,0001000220,1,,Carlos,Rivera Rodriguez,MX,,20220425
100,0001000221,2,Transportes del Golfo,,,CL,,20240309
100,0001000222,1,,Maria,Lopez Torres,CL,,20230714
100,0001000223,2,Servicios Peninsular S.A. de C.V.,,,CL,,20220720
100,0001000224,2,Corporativo Continental S.A. de C.V.,,,MX,,20220919
100,0001000225,2,Corporativo del Golfo SA,,,CL,,20240501
100,0001000226,2,Inmobiliaria del Norte S.A. de C.V.,,,MX,,20230306
100,0001000227,2,Comercial del Golfo SA de CV,,,US,,20220424
100,0001000228,2,Banco Continental S.A. de C.V.,,,MX,,20210221
100,0001000229,1,,Rosa,Torres Torres,MX,,20220813
100,0001000230,1,,Maria,Rivera Flores,CL,,20240727
100,0001000231,2,Corporativo Continental,,,MX,,20240220
100,0001000232,2,Comercial del Pacifico SA,,,CL,,20210104
100,0001000233,2,Servicios del Golfo SA de CV,,,CL,,20240610
100,0001000234,2,Corporativo Latina S.A.,,,US,,20220227
100,0001000235,1,,Ana,Garcia Perez,MX,,20200730
100,0001000236,2,Constructora Regio SAPI de CV,,,MX,,20200307
100,0001000237,2,Banco del Pacifico SA,,,CL,,20240817
100,0001000238,1,,Juan,Gonzalez Ramirez,MX,,20200730
100,0001000239,2,Constructora Regio SAPI de CV,,,MX,,20240617
100,0001000240,1,,Carlos,Garcia Martinez,MX,,20220804
100,0001000241,1,,Carlos,Gonzalez Sanchez,US,,20241121
100,0001000242,2,Corporativo Central SA,,,MX,,20200724
100,0001000243,1,,Pedro,Ramirez Perez,MX,,20230908
100,0001000244,2,Comercial del Bajio S.A. de C.V.,,,CL,,20200921
100,0001000245,2,Distribuidora Central SA de CV,,,CL,,20200208
100,0001000246,1,,Ana,Garcia Gonzalez,MX,,20220323
100,0001000247,1,,Miguel,Gonzalez Martinez,CL,,20240428
100,0001000248,2,Corporativo del Golfo SA,,,MX,,20200517
100,0001000249,1,,Miguel,Torres Ramirez,US,,20211126
100,0001000250,2,Comercial del Golfo,,,CL,X,20240624
100,0001000251,2,Comercial Peninsular,,,CL,,20240420
100,0001000252,1,,Marta,Martinez Flores,US,,20230904
100,0001000253,2,Constructora Azteca S.A.,,,MX,,20230805
100,0001000254,2,Grupo del Bajio S.A. de C.V.,,,CL,,20210321
100,0001000255,1,,Guadalupe,Hernandez Rivera,MX,,20200117
100,0001000256,2,Corporativo del Norte SA de CV,,,US,,20201018
100,0001000257,2,Industrias del Norte SA,,,MX,,20230108
100,0001000258,2,Distribuidora Peninsular SAPI de CV,,,MX,,20211226
100,0001000259,1,,Miguel,Martinez Torres,MX,,20231027
100,0001000260,1,,Ana,Flores Lopez,MX,,20210306
100,0001000261,2,Comercial del Bajio S.A.,,,MX,,20210620
100,0001000262,2,Banco del Norte S.A. de C.V.,,,CL,,20230915
100,0001000263,2,Comercial Central S.A. de C.V.,,,MX,,20220701
100,0001000264,2,Comercial del Golfo S.A.,,,US,,20210609
100,0001000265,2,Comercial Regio S.A.,,,US,,20240118
100,0001000266,1,,Marta,Sanchez Gonzalez,CL,,20230525
100,0001000267,2,Inmobiliaria del Norte S.A.,,,US,,20231009
100,0001000268,1,,Jose,Sanchez Perez,MX,,20201218
100,0001000269,2,Constructora Continental SA de CV,,,US,,20220819
100,0001000270,2,Servicios del Golfo SA,,,MX,,20210728
100,0001000271,1,,Pedro,Gonzalez Rivera,MX,,20200704
100,0001000272,1,,Miguel,Perez Gonzalez,MX,,20210123
100,0001000273,2,Comercial del Norte S.A. de C.V.,,,CL,,20210929
100,0001000274,2,Distribuidora del Bajio,,,MX,,20210705
100,0001000275,2,Inmobiliaria del Pacifico SA,,,MX,,20230412
100,0001000276,2,Inmobiliaria del Golfo SA de CV,,,MX,,20220118
100,0001000277,1,,Juan,Torres Lopez,MX,X,20200317
100,0001000278,2,Distribuidora Continental SA de CV,,,US,,20240212
100,0001000279,1,,Miguel,Perez Rodriguez,MX,,20200404
100,0001000280,2,Grupo del Pacifico SA,,,MX,,20240218
100,0001000281,1,,Juan,Lopez Lopez,MX,,20200824
100,0001000282,1,,Pedro,Torres Sanchez,MX,,20230818
100,0001000283,1,,Marta,Rodriguez Martinez,CL,,20240321
100,0001000284,2,Distribuidora Central SAPI de CV,,,MX,,20240515
100,0001000285,1,,Ana,Rivera Lopez,MX,,20200726
100,0001000286,1,,Pedro,Lopez Rodriguez,MX,,20220526
100,0001000287,1,,Francisco,Flores Ramirez,MX,,20230304
100,0001000288,1,,Maria,Garcia Garcia,US,,20230329
100,0001000289,2,Servicios Azteca,,,MX,,20220512
100,0001000290,2,Comercial Continental S.A.,,,MX,,20210330
100,0001000291,2,Inmobiliaria Central S.A. de C.V.,,,CL,,20211007
100,0001000292,1,,Jose,Torres Sanchez,MX,,00000000
100,0001000293,1,,Ana,Rivera Sanchez,US,X,20210724
100,0001000294,2,Industrias del Norte SA,,,US,,20200228
100,0001000295,2,Industrias del Bajio SAPI de CV,,,CL,,20230213
100,0001000296,2,Distribuidora Continental,,,MX,,20200826
100,0001000297,2,Corporativo del Norte SA de CV,,,MX,,20240406
100,0001000298,2,Distribuidora Regio SAPI de CV,,,MX,,20240503
100,0001000299,2,Industrias Latina SA,,,CL,,20221216
100,0001000300,2,Industrias del Norte,,,MX,,20240709
