MANDT,PARTNER,BKVID,BANKL,BANKN
100,0001000097,0001,086000,7934141354
100,0001000098,0001,064000,1231256587
100,0001000099,0001,027000,8812992857
100,0001000100,0001,044000,4895630313
100,0001000101,0001,053000,7251551527
100,0001000102,0001,049000,4838292550
100,0001000103,0001,052000,8371917579
100,0001000104,0001,038000,9162531201
100,0001000105,0001,041000,7948881242
100,0001000106,0001,004000,7451265845
100,0001000107,0001,009000,0643204246
100,0001000108,0001,005000,1354779395
100,0001000109,0001,077000,5390663062
100,0001000110,0001,070000,1619669068
100,0001000111,0001,097000,5984296626
100,0001000112,0001,068000,7821845325
100,0001000113,0001,052000,8049695772
100,0001000114,0001,064000,3772061141
100,0001000115,0001,064000,3638241228
100,0001000116,0001,098000,3310607940
100,0001000117,0001,003000,2419227984
100,0001000118,0001,070000,2922707955
100,0001000119,0001,038000,7533201787
100,0001000120,0001,033000,7523562440
100,0001000121,0001,009000,6965435642
100,0001000122,0001,056000,9124696336
100,0001000123,0001,040000,3307856937
100,0001000124,0001,062000,0742057898
100,0001000125,0001,099000,5701673009
100,0001000126,0001,016000,0457451548
100,0001000127,0001,045000,6585554930
100,0001000128,0001,035000,9616646703
100,0001000129,0001,072000,8693328919
100,0001000130,0001,030000,4699574910
100,0001000131,0001,051000,4293575243
100,0001000132,0001,053000,0252185564
100,0001000133,0001,050000,4315971305
100,0001000134,0001,019000,0675513968
100,0001000135,0001,016000,3063997434
100,0001000136,0001,032000,0964711025
100,0001000137,0001,032000,1740041835
100,0001000138,0001,066000,1935251133
100,0001000139,0001,045000,2461371398
100,0001000140,0001,051000,4661517145
100,0001000141,0001,042000,3577287538
100,0001000142,0001,045000,6890497733
100,0001000143,0001,011000,9038221694
100,0001000144,0001,081000,8788593107
100,0001000145,0001,024000,8425396406
100,0001000146,0001,038000,6620538317
100,0001000147,0001,076000,3859080282
100,0001000148,0001,032000,5494200960
100,0001000149,0001,079000,7500809159
100,0001000150,0001,063000,7819922548
100,0001000151,0001,077000,3744793340
100,0001000152,0001,021000,4477105436
100,0001000153,0001,056000,0513271831
100,0001000154,0001,074000,4754454833
100,0001000155,0001,095000,2265384025
100,0001000156,0001,054000,1271423022
100,0001000157,0001,078000,2254134367
100,0001000158,0001,088000,6368336561
100,0001000159,0001,037000,7066200412
100,0001000160,0001,078000,9833401234
100,0001000161,0001,046000,6836141277
100,0001000162,0001,094000,6782746134
100,0001000163,0001,015000,2014493664
100,0001000164,0001,024000,3978013112
100,0001000165,0001,050000,2231186573
100,0001000166,0001,019000,2519050238
100,0001000167,0001,025000,5329497303
100,0001000168,0001,060000,6041372842
100,0001000169,0001,007000,9310341769
100,0001000170,0001,081000,3909178293
100,0001000171,0001,010000,4780322172
100,0001000172,0001,073000,6164630904
100,0001000173,0001,053000,3499754024
100,0001000174,0001,002000,4656196552
100,0001000175,0001,067000,7499124588
100,0001000176,0001,067000,2828254076
100,0001000177,0001,083000,0351426712
100,0001000178,0001,013000,7716488903
100,0001000179,0001,017000,9357689864
100,0001000180,0001,076000,9832513860
100,0001000181,0001,058000,7210664513
100,0001000182,0001,062000,2238614136
100,0001000183,0001,078000,9671901395
100,0001000184,0001,099000,1908731015
100,0001000185,0001,036000,9999230903
100,0001000186,0001,007000,0810781702
100,0001000187,0001,097000,8184771248
100,0001000188,0001,065000,6411959512
100,0001000189,0001,055000,3618050754
100,0001000190,0001,068000,5488689687
100,0001000191,0001,048000,1867001418
100,0001000192,0001,035000,2251639070
100,0001000193,0001,076000,6960663838
100,0001000194,0001,030000,6559228158
100,0001000195,0001,025000,1464282409
100,0001000196,0001,056000,6835906719
100,0001000197,0001,090000,7226842599
100,0001000198,0001,069000,7663570786
100,0001000199,0001,013000,7464213666
100,0001000200,0001,003000,1108945755
100,0001000201,0001,001000,2233539289
100,0001000202,0001,015000,3726472896
100,0001000203,0001,070000,8437002280
100,0001000204,0001,032000,1107268289
100,0001000205,0001,098000,8953194627
100,0001000206,0001,042000,0516168523
100,0001000207,0001,007000,8800796505
100,0001000208,0001,052000,3946654540
100,0001000209,0001,023000,6488168968
100,0001000210,0001,074000,8610908504
100,0001000211,0001,074000,6483823774
100,0001000212,0001,027000,9839770734
100,0001000213,0001,008000,1093892698
100,0001000214,0001,036000,7250794996
100,0001000215,0001,032000,7958854758
100,0001000216,0001,033000,8169737259
100,0001000217,0001,090000,5965836843
100,0001000218,0001,073000,4987527051
100,0001000219,0001,082000,6285187724
100,0001000220,0001,071000,1720008627
100,0001000221,0001,089000,5229195606
100,0001000222,0001,047000,1161701385
100,0001000223,0001,099000,5624763295
100,0001000224,0001,012000,1916585798
100,0001000225,0001,040000,9686972107
100,0001000226,0001,023000,3151746430
100,0001000227,0001,059000,2072617771
100,0001000228,0001,095000,6228343197
100,0001000229,0001,086000,2187140296
100,0001000230,0001,056000,5277540054
100,0001000231,0001,019000,4122822501
100,0001000232,0001,014000,9813938588
100,0001000233,0001,017000,0762781883
100,0001000234,0001,038000,8809275996
100,0001000235,0001,044000,9945371228
100,0001000236,0001,061000,1585523371
100,0001000237,0001,016000,5845154118
100,0001000238,0001,078000,0546678281
100,0001000239,0001,026000,1292550593
100,0001000240,0001,068000,6522023562
100,0001000241,0001,070000,3234690411
100,0001000242,0001,009000,2184077233
100,0001000243,0001,012000,1582053912
100,0001000244,0001,075000,9428602029
100,0001000245,0001,099000,2337057330
100,0001000246,0001,079000,5090780898
100,0001000247,0001,008000,0870902903
100,0001000248,0001,085000,3063847393
100,0001000249,0001,059000,7528018414
100,0001000250,0001,065000,0203432441
100,0001000251,0001,021000,3000309574
100,0001000252,0001,020000,1395454971
100,0001000253,0001,053000,6286697805
100,0001000254,0001,040000,2653573256
100,0001000255,0001,073000,7116367257
100,0001000256,0001,086000,7354454163
100,0001000257,0001,080000,2549847356
100,0001000258,0001,003000,1114293015
100,0001000259,0001,076000,5931651196
100,0001000260,0001,033000,3182008393
100,0001000261,0001,001000,0830337129
100,0001000262,0001,012000,2041037060
100,0001000263,0001,028000,9619519232
100,0001000264,0001,047000,6885882273
100,0001000265,0001,048000,4098971619
100,0001000266,0001,071000,6371237584
100,0001000267,0001,083000,7765168860
100,0001000268,0001,037000,7884688371
100,0001000269,0001,056000,7373066180
100,0001000270,0001,043000,8259282617
100,0001000271,0001,074000,5192130770
100,0001000272,0001,048000,5125877169
100,0001000273,0001,062000,3970001962
100,0001000274,0001,010000,5404700043
100,0001000275,0001,024000,1238573322
100,0001000276,0001,077000,7510402565
100,0001000277,0001,068000,4247033762
100,0001000278,0001,056000,0817008090
100,0001000279,0001,099000,3523252563
100,0001000280,0001,097000,3899605138
100,0001000281,0001,023000,8395637288
100,0001000282,0001,049000,5148003998
100,0001000283,0001,074000,3530553235
100,0001000284,0001,021000,9089028514
100,0001000285,0001,062000,1836000262
100,0001000286,0001,050000,9528089762
100,0001000287,0001,004000,8266276997
100,0001000288,0001,023000,8385886272
100,0001000289,0001,069000,5807346199
100,0001000290,0001,059000,5444294262
100,0001000291,0001,007000,4527029634
100,0001000292,0001,047000,8488542865
100,0001000293,0001,008000,5503410684
100,0001000294,0001,057000,6913583133
100,0001000295,0001,094000,8689544595
100,0001000296,0001,094000,3629720774
100,0001000297,0001,001000,7160643059
100,0001000298,0001,028000,3184483661
100,0001000299,0001,004000,0978631259
100,0001000300,0001,078000,0502897552
